variable,nonmissing_n,missing_n,missing_percent
income_poverty_ratio,8212,1481,15.279067368203858
log_hs_crp,8237,1456,15.021149282987722
hs_crp,8237,1456,15.021149282987722
phq9_score,8276,1417,14.618797070050551
hba1c,8464,1229,12.679253069225213
bmi,8790,903,9.316001238006809
social_jetlag_hours,9484,209,2.1561951924068916
weighted_average_sleep_duration,9570,123,1.268956979263386
smoking_status,9688,5,0.05158361704322707
any_recreational_activity,9691,2,0.02063344681729083
age,9693,0,0.0
sex,9693,0,0.0
race_ethnicity,9693,0,0.0
WTMECPRP,9693,0,0.0
SDMVSTRA,9693,0,0.0
SDMVPSU,9693,0,0.0
